edition_id,city_id,language,state,month,copies_sold,copies_returned,net_circulation
ED1005,C005,Hindi,Rajasthan,2023-05-01,404389,13510,390879
ED1005,C005,Hindi,Rajasthan,2019-03-01,492943,25024,467919
ED1001,C001,Hindi,Uttar Pradesh,2023-07-01,168893,12285,156608
ED1003,C003,Hindi,Madhya Pradesh,2023-07-01,216540,10117,206423
ED1007,C007,Hindi,Jharkhand,2020-10-01,234563,13048,221515
ED1001,C001,Hindi,Uttar Pradesh,2024-06-01,149986,6387,143599
ED1001,C001,Hindi,Uttar Pradesh,2024-04-01,155269,9394,145875
ED1003,C003,Hindi,Madhya Pradesh,2019-02-01,274749,13327,261422
ED1005,C005,Hindi,Rajasthan,2019-05-01,498423,30933,467490
ED1006,C006,English,Maharashtra,2021-07-01,377357,17925,359432
ED1010,C010,Hindi,Uttar Pradesh,2023-11-01,389952,17470,372482
ED1007,C007,Hindi,Jharkhand,2020-05-01,234054,14644,219410
ED1001,C001,Hindi,Uttar Pradesh,2022-04-01,166729,5975,160754
ED1002,C002,English,Delhi,2021-06-01,351210,18616,332594
ED1006,C006,English,Maharashtra,2024-11-01,304809,13930,290879
ED1005,C005,Hindi,Rajasthan,2022-05-01,422488,22678,399810
ED1002,C002,English,Delhi,2020-03-01,356422,17505,338917
ED1009,C009,Hindi,Gujarat,2023-04-01,266904,13638,253266
ED1004,C004,Hindi,Bihar,2022-08-01,231765,14158,217607
ED1003,C003,Hindi,Madhya Pradesh,2024-10-01,207963,9464,198499
ED1007,C007,Hindi,Jharkhand,2020-03-01,232783,7954,224829
ED1006,C006,English,Maharashtra,2019-08-01,424402,26771,397631
ED1001,C001,Hindi,Uttar Pradesh,2021-10-01,194492,12156,182336
ED1010,C010,Hindi,Uttar Pradesh,2022-03-01,390340,12438,377902
ED1007,C007,Hindi,Jharkhand,2022-11-01,216680,7052,209628
ED1005,C005,Hindi,Rajasthan,2021-12-01,422959,18890,404069
ED1004,C004,Hindi,Bihar,2022-03-01,215106,13963,201143
ED1003,C003,Hindi,Madhya Pradesh,2024-07-01,211625,15649,195976
